Role_Search,Title,Company,Location,Experience,Salary,Skills,Min_Exp,Max_Exp,Avg_Exp,Min_Salary,Max_Salary,City,Role_Category,Skills_List
software developer,"Senior Software Developer (C#.net, SQL, ERP Software)",Index Infotech India,Pune,4-5 Yrs,,SANSAPSAP CRMSSRSData structuresVisual StudioOraclemicrosoft,4.0,5.0,4.5,,,Pune,Developer,sansapsap crmssrsdata structuresvisual studiooraclemicrosoft
data analyst,Fresher: AI Data Analyst - International Team,Silicon Media Technologies Pvt. Ltd,Bangalore/Bengaluru(Old Airport Road),0 Yrs,2.25 Lacs PA,AnalyticsTechnology ResearchChatgptMarket ResearchGeminiResearch AnalysisData InterpretationArtificial Intelligence,0.0,0.0,0.0,2.0,25.0,Bangalore/Bengaluru(Old Airport Road),Data,analyticstechnology researchchatgptmarket researchgeminiresearch analysisdata interpretationartificial intelligence
data analyst,Data Analyst (Remote),Crossing Hurdles,Remote,0-5 Yrs,5-15 Lacs PA,ForecastingAnalyticalData AnalysisStatisticsAnalyticsAnalysisRemoteData,0.0,5.0,2.5,5.0,15.0,Remote,Data,forecastinganalyticaldata analysisstatisticsanalyticsanalysisremotedata
data analyst,Data Analyst,Barclays,Pune,0-7 Yrs,,Data analysisSenior AnalystData modelingAnalyticalWorkflowData qualityContinuous improvementApache,0.0,7.0,3.5,,,Pune,Data,data analysissenior analystdata modelinganalyticalworkflowdata qualitycontinuous improvementapache
data analyst,Data Analyst,Barclays,Gurugram,0-5 Yrs,,SASProject managementAnalyticalMachine learningAgileWorkflowBusiness strategyAssistant Vice President,0.0,5.0,2.5,,,Gurugram,Data,sasproject managementanalyticalmachine learningagileworkflowbusiness strategyassistant vice president
data analyst,Data Analyst,Swiggy,Bengaluru,1-6 Yrs,3.25-5 Lacs PA,E-commerceAdvance SqlData AnalyticsPower BiAdvanced ExcelSQLDataData analysis,1.0,6.0,3.5,3.0,25.0,Bengaluru,Data,e-commerceadvance sqldata analyticspower biadvanced excelsqldatadata analysis
data analyst,Data Analyst,FE Fundinfo,Chennai,0-3 Yrs,,Analytical skillsData managementFocusAgileDeploymentData AnalystManagementSLAS,0.0,3.0,1.5,,,Chennai,Data,analytical skillsdata managementfocusagiledeploymentdata analystmanagementslas
data analyst,Data Analyst,Simply Vyapar Apps,Bengaluru(Bellandur),0-1 Yrs,,SQL QueriesData AnalyticsProblem SolvingData VisualizationAb TestingSQLAbSoftware testing,0.0,1.0,0.5,,,Bengaluru(Bellandur),Data,sql queriesdata analyticsproblem solvingdata visualizationab testingsqlabsoftware testing
data analyst,Data Analyst,R R Groups,Bengaluru,0-1 Yrs,,data analysismodelingdocumentationbistrong analytical skillspower biproblem solvingdashboards,0.0,1.0,0.5,,,Bengaluru,Data,data analysismodelingdocumentationbistrong analytical skillspower biproblem solvingdashboards
data analyst,Data Analyst Pharma,Leading Client,Mumbai,1-4 Yrs,,data analystemerging technologiesdata analysis toolsdata analyticsdata analysisdata validationbusiness intelligencehealthcare,1.0,4.0,2.5,,,Mumbai,Data,data analystemerging technologiesdata analysis toolsdata analyticsdata analysisdata validationbusiness intelligencehealthcare
data analyst,"Online Data Analyst - ""Odia""",TELUS Digital,Remote,0-2 Yrs,,OriyaEnglish LanguageEnglishData analysisLanguagesData,0.0,2.0,1.0,,,Remote,Data,oriyaenglish languageenglishdata analysislanguagesdata
data analyst,Procurement Data Analyst,G4S,Remote,2-5 Yrs,7-9 Lacs PA,Data AnalysisData AnalystData AnalyticsProcurement ManagementStakeholder ManagementAnalyticsProcurementAnalysis,2.0,5.0,3.5,7.0,9.0,Remote,Data,data analysisdata analystdata analyticsprocurement managementstakeholder managementanalyticsprocurementanalysis
data analyst,Data Analyst,JSW ONE PLATFORMS,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",3-5 Yrs,,BigqueryDashboardingData AnalyticsPythonGCPData AnalysisData VisualizationData Modeling,3.0,5.0,4.0,,,Mumbai Suburban,Data,bigquerydashboardingdata analyticspythongcpdata analysisdata visualizationdata modeling
data analyst,Data Analyst,Secure Meters,Ranchi,0-2 Yrs,,Data AnalysisData VisualizationEnergy AuditSQL QueriesAdvanced ExcelData AnalyticsSQLAuditing,0.0,2.0,1.0,,,Ranchi,Data,data analysisdata visualizationenergy auditsql queriesadvanced exceldata analyticssqlauditing
data analyst,Online Data Analyst - Punjabi,TELUS Digital,Remote,0-2 Yrs,,Data AnalysisMappingPunjabiGoogle MapsQuality AssuranceMapserverGoogleAnalysis,0.0,2.0,1.0,,,Remote,Data,data analysismappingpunjabigoogle mapsquality assurancemapservergoogleanalysis
